entire lamina septum pellucidum	gehele lamina septi pellucidi
diabetic stage 5 chronic renal impairment due to type 2 diabetes mellitus	chronische nierinsufficiëntie stadium 5 door diabetes mellitus type 2
acrocephalopolydactyly	acrocefalopolydactylie
ablation of coeliac plexus	ablatie van plexus coeliacus
push with unaffected side	zet af met niet-aangedane zijde
right ventricular resection for infundibular stenosis with commissurotomy	resectie van rechter ventrikel vanwege infundibulaire stenose met commissurotomie
resection of blood vessel with anastomosis	excisie van bloedvat met aanleggen van anastomose
traumatic epistaxis	neusbloeding door trauma
entire palmar fascia of little finger	gehele palmaire aponeurose van pink
neoplasm of paraurethral glands	neoplasma van para-urethrale klieren
structure of pedicle of seventh thoracic vertebra	structuur van pediculus van zevende thoracale wervel
free-standing family medicine clinic	zelfstandige huisartspraktijk
broussonetia papyrifera pollen allergen	pollenallergeen van Morus papyrifera
deficiency of adenosinetriphosphatase	deficiëntie van adenosinetrifosfatase
synoviocyte count	bepalen van aantal synoviocyten
secondary malignant neoplasm of right upper lobe of lung	secundair maligne neoplasma van bovenkwab van rechter long
entire base of renal pyramid	gehele basis van renale pyramide
structure of proximal epiphysis	structuur van proximale epifyse
procedure on jejunum	verrichting op jejunum
mechanical general cryosurgical system	mechanisch algemeen cryochirurgisch systeem
crustaceans	kreeftachtigen
milker's nodule	melkersknobbel
absorbable gelatin sponge	resorbeerbaar gelatinespons
neuropathy due to multiple myeloma	neuropathie door meervoudig myeloom
streptococcus pneumoniae serotype 33D	Streptococcus pneumoniae serotype 33D
location within hospital premises	locatie binnen ziekenhuis
entire ischial tuberosity subregion of buttock region	gehele regio van tuber ischiadicum
isopentyl alcohol measurement	bepalen van 3-methyl-1-butanol
xanthoma of lower eyelid	xanthoom van onderooglid
elective upper segment caesarean section with bilateral tubal ligation	electieve sectio caesarea in hoger segment met bilaterale tubaligatie
desulfovibrio gigas	Desulfovibrio gigas
cerebrospinal fluid white blood cell count, automated	geautomatiseerd bepalen van aantal witte bloedcellen in cerebrospinaal vocht
benign neoplasm of face bone	benigne neoplasma van aangezichtsbeenderen
difficulty swallowing thickened fluid	moeilijkheid om verdikte vloeistof in te slikken
repair of double outlet left ventricle with intraventricular right ventricle to pulmonary trunk tunnel	operatief herstel van 'double-outlet' linker ventrikel met intraventriculaire tunnel van rechter ventrikel naar truncus pulmonalis
lymphoma of retina	lymfoom naar de retina
streptococcus pyogenes type emm27	Streptococcus pyogenes type emm27
entire serratus posterior muscle	gehele musculus serratus posterior
increased active range of hip flexion	vergroot bewegingsbereik bij actieve anteflexie van heup
construction of conduit - right ventricle to both pulmonary arteries	aanleggen van conduit tussen rechter ventrikel en beide arteriae pulmonales
fusobacterium simiae	Fusobacterium simiae
breast reconstruction with free flap	borstreconstructie met vrije flap
iliac crest aspiration	aspiratie van beenmerg uit darmbeenkam
controlled drug dependence	gecontroleerde drugsverslaving
provider comment report	leverancierscommentaarrapport
polycarbonate dental material	tandheelkundig polycarbonaatmateriaal
postprocedural blebitis	ontsteking van bleb na verrichting
injury at T1-T6 level with posterior cord syndrome AND without bone injury	letsel tussen eerste en zesde thoracale zenuw met achterstrengsyndroom en zonder benig letsel
high fibular fracture closed fracture ankle, trimalleolar	gesloten trimalleolaire Maisonneuve-fractuur
autosomal dominant Charcot-Marie-Tooth disease type 2G	autosomaal dominante ziekte van Charcot-Marie-Tooth type 2G
child examination at 8 weeks with explicit context	onderzoek van kind van 8 weken met expliciete context
entire distal surface of tibia	gehele distale oppervlak van tibia
bilateral myopia of eyes	bilaterale myopie
body examined by medicolegal authority	lichaam onderzocht door gemeentelijke lijkschouwer
supervision of high risk pregnancy with history of previous antepartum hemorrhage	superviseren van hoogrisicozwangerschap met voorgeschiedenis van bloeding antepartum
structure of superior iliac crest region of trunk	regio van superieure bekkenkam van romp
swelling of vagina	zwelling van vagina
product containing perampanel	product dat perampanel bevat
removal of suture of cheek	verwijderen hechtingen wang
accident due to collapse of burning private dwelling	ongeval als gevolg van instorten van brandende privéwoning
patient not on self-medication	patiënt gebruikt geen zelfmedicatie
late effect of brain injury	restverschijnsel na hersenletsel
finding of nasal airway patency	bevinding betreffende doorgankelijkheid van nasale luchtweg
human epidermal growth factor receptor 2 gene detection by fluorescence in situ hybridisation	detecteren van gen voor humane epidermale groeifactorreceptor 2 met fluorescentie-in-situhybridisatie
CT angiography of renal artery	CTA van nierarterie
fusion protein	fusie-eiwit
freeing of adhesion of tongue with Z-plasty	adhesiolyse van tong middels Z-plastiek
replacement of tracheostomy tube	vervangen van tracheostomiecanule
^110m^Silver	^110m^Ag
adenoma of lung	adenoom van long
cleaning eye	reinigen van oog
fracture of maxillary tuberosity	fractuur van tuber van maxilla
total excision of radius	excisie van gehele spaakbeen
intentional risperidone overdose	opzettelijke overdosis door risperidon
application of hemostatic agent	toedienen van hemostatisch middel
suicide or self injury by jumping off cliff	zelfmoord of zelfverwonding door van een klif te springen
structure of mucous membrane of right nasal cavity	tunica mucosa van rechter cavum nasi
organism staining technique	techniek voor het kleuren van organismen
subcutaneous tissue of medial margin of forearm	onderhuids vet- en bindweefsel van mediaal oppervlak van onderarm
computed tomography of both scaphoids with contrast	computertomografie van beide scafoïden met contrast
burn of ovary	verbranding van ovarium
parietomastoid suture of skull	pariëtomastoïde sutuur van de schedel
sprain of ankle and/or foot	verstuiking van enkel en/of voet
blue green colour	blauwgroene kleur
open biopsy of vertebral body of cervical region	open biopsie van corpus vertebrae van cervicale regio
product containing thiethylperazine in oral dosage form	product dat thiëthylperazine in orale vorm bevat
congenital acquired immune deficiency syndrome	congenitaal verworven immunodeficiëntiesyndroom
intentional nabilone overdose	opzettelijke overdosis nabilone
hepatosplenic schistosomiasis	hepatosplenische schistosomiasis
infection by Ostertagia	infectie door genus Ostertagia
amycolatopsis keratiniphila nogabecina	Amycolatopsis keratiniphila subsp. nogabecina
entire wall of aortic arch	gehele wand van arcus aortae
female genital structure	structuur van vrouwelijk genitaal stelsel
social phobia inventory fear subscore	sociale fobie inventarisatie angst subscore
enamel structure	structuur van enamelum
antigen of Neisseria meningitidis group A conjugate	antigeen van conjugaat van Neisseria meningitidis groep A
family history: Raised blood lipids	verhoogde lipiden in bloed in familieanamnese
epitrochlear	epitrochleair
pre-existing condition	pre-existente aandoening
mental health risk indicator assessment	evaluatie van risico-indicator van geestelijke gezondheid
rothia amarae	Rothia amarae
galactosaemia - galactokinase deficiency	Galactokinasedeficiëntie-galactosemie
open wound of right ring finger due to cat bite	open wond van rechter ringvinger door kattenbeet
microcephalic primordial dwarfism Dauber type	Dauber-type primordiale dwerggroei met microcefalie
late dumping syndrome	laat ‘dumping syndrome’
acute-on-chronic vesicular eczema of hands	acuut-op-chronisch acrovesiculeus eczeem van hand
structure of hematological system	structuur van hematologisch systeem
pharyngeal dryness	faryngeale droogheid
escherichia coli serotype O2:H6	Escherichia coli serotype O2:H6
bronchial biopsy sample	biopt van bronchus
incidental ligation of fallopian tubes	bijkomende ligatie van tuba Fallopii
single-use amniotome	amniotoom voor eenmalig gebruik
hyperinsulinism due to deficiency of glucokinase	en die een snelle en intensieve behandeling vereist om neurologische restletsels te vermijden. Hyperinsulinisme door glucokinasedeficiëntie (HIGCK) is een vorm van diazoxidesensitief diffuus hyperinsulinisme (zie deze term), die wordt veroorzaakt door een verlaagde drempelwaarde voor de vrijzetting van insuline, die wordt gekarakteriseerd door een overmatige/ongecontroleerde insulinesecretie (niet aangepast aan het glycemie-niveau) en recurrente episodes van sterke hypoglycemie geïnduceerd door vasten en eiwitrijke maaltijden
injury caused by animal bite	wond door dierenbeet
primary excision of thoracic intervertebral disc by anterolateral approach	primaire thoracale discectomie met anterolaterale benadering
single open traumatic dislocation toe, interphalangeal joint	traumatische open luxatie van articulatio interphalangea pedis van één digitus
first lumbar vertebra	botstructuur van eerste lumbale wervel
capsule of hand joint	structuur van kapsel van gewricht van hand
torsion of left ovary	torsie van linker eierstok
free-standing mental health clinic	zelfstandige kliniek of polikliniek voor geestelijke gezondheid
primary malignant neuroendocrine neoplasm of appendix	primair maligne epitheliaal neuro-endocrien neoplasma van appendix vermiformis
glossopalatine ankylosis	syndroom van ankyloglossia superior
accessory respiratory muscles used	gebruik van hulpademhalingsspieren
fibrous part of perineurium	structuur van fibreus gedeelte van perineurium
congenital short hard palate	congenitaal verkort palatum durum
fifth aortic arch	vijfde kieuwboogarterie
fall in bathtub	val in bad
actinomyces europaeus	Actinomyces europaeus
reprocessed spring-loaded pneumoperitoneum needle	herverwerkte pneumoperitoneiumnaald met veermechanisme
pigmented hairy epidermal nevus of right upper limb	gepigmenteerde harige epidermale nevus van het rechter bovenlichaam
insertion of endovascular stent into aortobiiliac aneurysm	endovasculaire stentplaatsing in aneurysma van aortabifurcatie
free-standing immunology clinic	immunologisch ZBC
cladophialophora arxii	Cladophialophora arxii
cerebellar cortex	cortex van cerebellum
mylocheilus caurinus	Mylocheilus caurinus
moderate mixed bipolar affective disorder	matig gemengde bipolaire affectieve stoornis
fascia of flexor compartment of upper arm	fascie van flexorcompartiment van bovenarm
extracorporeal microwave hyperthermia system applicator	applicator voor extracorporaal hyperthermiesysteem met microgolven
skin and/or subcutaneous tissue structure of chest	huid en/of onderhuids bindweefsel van borstkas
myointimoma	myointimoma
suture of stomach	hechten van gaster
assessment using BEDQ	assessment met BEDQ
preventive incision	preventieve incisie
familial encephalopathy with neuroserpin inclusion bodies	FENIB - familial encephalopathy with neuroserpin inclusion bodies
entire mucous membrane of nasal sinus	gehele slijmvlieslaag van neusbijholte
