gastric aspirate present	ventrikelaspirat påvist
genus Avulavirus	Avulavirus
ethosuximide poisoning of undetermined intent	uvist med hvilken hensigt forgiftning med ethosuximid
adverse reaction to timolol	bivirkning af timolol
orbiliomycetes	Orbiliomycetes
slurred speech	Sløret tale
nelaton 14Ch silicone coated PVC single-use male length urethral catheter with 1.5L drainage bag and introducer tip	til mænd Nelatons Ch 14 uretralkateter i PVC med silikonebelægning og med 1,5 l drænpose og indføringsspids
escherichia hermannii	Escherichia hermannii
uncompensated swallowing impairment	Inkompenseret synkehæmning
deep full thickness burn of the breast without loss of body part	dyb fuldhudsforbrænding af bryst uden tab af underliggende strukturer
sigmoid colectomy and end-to-end anastomosis of ileum to rectum	kolektomi af colon sigmoideum og anlæggelse af end-to-end-anastomose mellem ileum og rectum
n-Butyrate measurement	måling af n-butyrat
carcinoma of the rectosigmoid junction	Karcinom i overgangen mellem rectum og sigmoideum
manual extraction of milk from lactating breast	manuel udmalkning af mælk fra lakterende mamma
streptomyces laceyi	Streptomyces laceyi
ibuprofen 300 mg and pseudoephedrine 45 mg oral capsule	ibuprofen 300 mg + pseudoephedrin 45 mg kapsel
coronary artery bypass graft occlusion	graftokklusion efter koronararteriebypassoperation
increase in surface veins of breast	forøgelse af overfladiske vener på mamma
on examination - vaginal examination - pelvis not adequate	objektivt: vaginal undersøgelse - ikke-rummeligt bækken
disease caused by Mycoplasma	Sygdom forårsaget af Mycoplasma
face and neck lymphosarcoma of lymph nodes of head	ansigt og hals Lymfosarkom i lymfeknuder i hoved
edges of fontanelle overriding	Overskudte kanter af fontanelle
malignant cystic nephroma	Malignt cystisk nefrom
miliaria vesiculosa	Miliaria vesiculosa
fluoroscopic angiography of abdominal aorta using contrast with insertion of tube stent graft	angiografi vha. røntgengennemlysning af abdominalis aortae med brug af kontrast med indsættelse af tube stentgraft
ulnar collateral ligament sprain finger, distal interphalangeal joint	overstrækning af ulnart kollateralligament i distalt interfalangealled i anden finger end tommelfinger
armodafinil	armodafinil
structure of myocardium of left ventricle	Struktur af venstre ventrikels myocardium
cytoplasmic filament alteration	ændring af cytoplasmatisk filament
health care information exchange	udveksling af sundhedsoplysninger
nail operations	negleoperationer
brodmann area 18	Brodmanns area 18
darbepoetin alfa 300micrograms/0.6mL prefilled syringe	darbepoetin alfa 300 µg/0,6 ml i fyldt injektionssprøjte
closed dislocation lumbar spine	Lukket luksation i lænderygsøjlen
entire transverse temporal gyrus	gyrus temporalis transversi som helhed
fixation of fracture of spine	ikke nærmere specificeret Fiksering af rygsøjlefraktur
methylmalonyl-CoA carboxyltransferase	Methylmalonyl-CoA-carboxyltransferase
processing capacity	Behandlingskapacitet
primordial germ cell	Germinalcelle
budesonide systemic preparation	budesonidpræparat til systemisk anvendelse
failure of sterile precautions during procedure	svigt ved sterilitetsforanstaltninger i forbindelse med indgreb
structure of splenic fossa of omental sac	struktur af splenisk fossa i omental sæk
abnormal rod or cone threshold	abnorm stav- eller taptærskel
pepsinogen II measurement	måling af pepsinogen II
alprostadil 40micrograms powder and solvent for injection solution cartridge	cylinderampul alprostadil 40 µg pulver og solvens til injektionsvæske, opløsning
atrial rhythm	Atriumrytme
salmonella II 1,13,23:z:1,5	Salmonella II 1,13,23:z:1,5
epilation of eyebrow by forceps	Epilation af øjenbryn med tang
closed injury, digital vessel which is multiple	lukket traumatisk læsion af multiple kar på finger eller fod
talocalcaneal coalition	Sammenvoksning af talus og calcaneus
accident due to collapse of burning factory	uheld forårsaget af sammenstyrtning af brændende fabrik
rheumatoid arthritis of proximal interphalangeal joint of finger	reumatoid artrit i proksimalt interfalangealled i anden finger end tommelfinger
tender scar	ømt ar
allergy to disulfiram	allergi over for disulfiram
referral from contact tracing nurse	henvisning foretaget af kontaktopsporende sygeplejerske
brucella maris	Brucella maris
revision open reduction of spinal fracture	Revision af åben reponering af rygsøjlefraktur
typhoid exanthem	tyfuseksantem
congenital anomaly of thoracic cage	kongenit anomali af brystkassen
emergency replacement of aneurysmal popliteal artery by anastomosis of popliteal artery to peroneal artery using vein graft	akut udskiftning af aneurismatisk arteria poplitea med anlæggelse af anastomose mellem arteria poplitea og arteria fibularis vha. venegraft
signal peptidase I	signalpeptidase I
diphenylbutylpiperidine adverse reaction	bivirkning diphenylbutylpiperidin
tailed phage group	gruppe af phager med hale
invagination nuclear envelope	invagination nukleuskappe
injury of ligament of knee	traumatisk læsion af ligament i knæ
prototheca segbwema	Prototheca segbwema
terbutaline sulfate 500micrograms/1mL injection	terbutalinsulfat 500 µg/1 ml injektionsvæske
1,25-dihydroxyvitamin D3	1,25-dihydroxyvitamin D3
jump from burning private dwelling	spring fra brændende privat bolig
pseudozyma	Pseudozyma
finger joint red	Rødt fingerled
sterile absorbent dressing pad	sterilt absorberende sårkompres
female juvenile homoerotism	juvenil homoerotisme hos kvinde
cellulitis of pinna	flegmone i auricula
sex chromosome	Kønskromosom
condylar plate	kondylskinne
single live birth	Ét levendefødt barn
incoherent thinking	Usammenhængende tankegang
neck artery transplantation	Transplantation af arterie i halsen
tantalum plate or stent from larynx removal of keel	tantalplade eller implantat fra larynx Fjernelse af T-stent
actinobacillus pleuropneumoniae - pasteurella multocida bacterin	bakterin indeholdende Actinobacillus pleuropneumoniae og Pasteurella multocida
finding of movement of visual image	fund vedr. bevægelse af visuelt billede
therapeutic endoscopic retrograde operations on pancreatic duct	Terapeutisk endoskopisk retrograde operationer af ductus pancreaticus
structure of lobe of right lung	struktur af højre lungelap
adverse reaction to neomycin	bivirkning af neomycin
parathyroid sampling catheter procedure	udtagning af blodprøve vha. kateter i glandula parathyroidea
serologic test for influenza virus A	serologisk test for influenzavirus A
sodium fluoride 500 microgram oral tablet	natriumfluorid tablet 500 µg
minocycline hydrochloride	minocyclinhydrochlorid
spinal subluxation with cauda equina lesion	Spinal subluksation med cauda equina-læsion
operative procedure on forearm	Operativt indgreb på underarm
sulfasalazine 500 mg gastro-resistant oral tablet	sulfasalazin enterotablet a 500 mg
carcinoma in situ of aryepiglottic fold	Carcinoma in situ i plica aryepiglottica
bacteroides merdae	Bacteroides merdae
plastics and glues patch test substance	stof til lappeprøve for plast og lim
non-operative procedure for hernia	ikke-operativ intervention for hernie
phenyl ether-biphenyl vapor mixture	phenyl-ether-biphenyl-dampblanding
joint implant	ledimplantat
naphthalene acetamide	naphthalenacetamid
borg Breathlessness Score finding	fund vedr. Borg stakåndethedsscore
moderate pocket therapy type II, early periodontitis	behandling af moderat dyb poche type II ved tidlig parodontit
measurement of platelet aggregation using high dose ristocetin	måling af trombocytaggregation ved brug af høj dosis ristocetin
cross-bow	armbrøst
entire internal spermatic fascia	fascia spermatica interna som helhed
referred by pharmacist	henvist af farmaceut
cryptogenic pulmonary eosinophilia	Kryptogen pulmonal eosinofili
rupture of extensor tendons of hand AND/OR wrist	Ruptur af ekstensorsener i hånd OG/ELLER håndled
structure of annular ligament of base of stapes	struktur af anulært ligament i stapesbasis
maxillofacial surgery	maksillofacialkirurgi
biopsy of uvula and soft palate	biopsi af drøbelen og bløde gane
niacin-rich diet	Diæt rig på niacin
rickettsia sibirica	Rickettsia sibirica
traumatic epistaxis	Traumatisk epistaxis
vincristine sulphate	Vincristinsulfat
transverse process open fracture axis	processus transversus Åben axisfraktur
patterns of eye movement	Mønstre for øjenbevægelse
benign neoplasm of skin of popliteal area	benignt neoplasme i hud i poplitærområde
oral ibuprofen	ibuprofen til oral anvendelse
finding related to ability to sort laundry	fund vedr. evne til at sortere vasketøj
ceftriaxone overdose of undetermined intent	uvist med hvilken hensigt overdosis af ceftriaxon
discharge by drama therapist	udskrivelse foretaget af dramaterapeut
paracetamol + salicylamide 250mg/600mg tablet	paracetamol 250 mg + salicylamid 600 mg tablet
repair of eyelid which is partial-thickness involving lid margin	lag i øjenlåget samt øjenlågsrand udbedring af laceration af øjenlåg involverende nogle, men ikke alle
urine chlamydia trachomatis test positive	test for Chlamydia trachomatis i urin positiv
multiple osteotomy NEC	ikke klassificeret andetsteds Multipel osteotomi
lymphadenopathy associated with AIDS	lymfadenopati associeret med aids
with ketoacidosis diabetes mellitus, adult onset	med ketoacidose Diabetes mellitus, debut i voksenalder
measure of foetus	parameter vedr. foster
amelogenesis imperfecta - hypoplastic autosomal dominant - rough	ru amelogenesis imperfecta, hypoplastisk autosomal dominant
conduit with homograft valve	conduit med homolog hjerteklapgraft
tendon rupture	ikke nærmere specificeret ruptur af sene
24 hour urine sample volume measurement	måling af indsamlet døgndiurese
health education	Sundhedsundervisning
retropubic approach	retropubisk adgang
referred by social worker	henvist af socialmedarbejder
sulphur adverse reaction	bivirkning af svovl
application of herring bone strapping	Anlæggelse af sildebensbandage
able to remember own age	i stand til at huske sin egen alder
urine pH test	undersøgelse af pH-værdi i urin
beta-subunit measurement chorionic gonadotropin	beta-undergruppe måling af choriongonadotropin
clonidine hydrochloride 300 microgram oral tablet	clonidinhydrochlorid 300 µg tablet
secondary malignant neoplasm of epididymis	sekundært malignt neoplasme i epididymis
fibrous obliteration of appendix	Fibrøs obliteration af appendix
picks up objects	Samler ting op
blister cells	blæreceller
red filter test	rødfiltertest
removal of peripherally inserted central catheter	fjernelse af perifert indsat centralt kateter
T7-12 open spinal fracture with complete thoracic cord lesion	T7-12 åben rygsøjlefraktur med komplet torakal medullalæsion
veterinarian (general)	alment praktiserende dyrlæge
oligella	Oligella
infant stimulation education	undervisning i stimulering af spædbarn
human plasma, cryoprecipitate reduced	humant kryopræcipitatdepleteret plasma
naproxen 250 mg gastro-resistant oral tablet	naproxen 250 mg enterotablet
papillary conjunctivitis	Papillær konjunktivit
arthroscopy of knee with medial and lateral meniscus repair	artroskopi af knæ med udbedring af medial og lateral menisk
reconstruction of brachial artery	rekonstruktion af arteria brachialis
tuberculosis of lung which is confirmed by sputum microscopy with or without culture	Lungetuberkulose verificeret ved mikroskopi af ekspektorat med eller uden dyrkning
choanotaenia infundibulum	Choanotaenia infundibulum
supporting pessary	støttende pessar
crocinitomix	Crocinitomix
tonne	ton
tyzzeria alleni	Tyzzeria alleni
obesity monitoring telephone invite	telefonisk invitation til monitorering af adipositas
vandalism record	straffet for vandalisme
ferrous gluconate 300 mg oral tablet	ferrogluconat 300 mg tablet
t9/T10 intertransverse ligament	ligamentum intertransversarium mellem T9 og T10
injection of anaesthetic agent into greater occipital nerve	injektion af anæstetikum i nervus occipitalis major
rimiterol adverse reaction	bivirkning af rimiterol
nonrotational forceps delivery	Tangforløsning uden rotation
bemiparin sodium 12500iu/mL injection solution 0.2mL prefilled syringe	bemiparinnatrium 12.500 IE/ml injektionsvæske, opløsning i fyldt injektionssprøjte a 0,2 ml
right frontal lobe structure	struktur af højre del af frontallappen
class 4	klasse 4
regular insulin	regulær insulin
family Xanthomonadaceae	familien Xanthomonadaceae
neoplasm of uncertain behaviour of periadrenal tissue	usikkert om benignt eller malignt neoplasme i periadrenalt væv
biopsy of pancreas	biopsi af pancreas
genital herpes simplex	genital herpes simplex
injection neuropathy	injektionsneuropati
jump from burning convalescent home	spring fra brændende rekonvalescenthjem
streptococcus pyogenes type emm85	Streptococcus pyogenes type emm85
dorsal 35 degree lateral-plantaromedial oblique projection	dorsal 35 graders lateral-plantaromedial skrå projektion
dextran 40 (10%) injection solution 500mL bottle	flaske a 500 ml Dekstran 40 (10 %) injektionsvæske, opløsning
micrococcus nishinomiyaensis	Micrococcus nishinomiyaensis
